Source,Label,Target,Weight
LIP,LIP,PEC,0
LIP,LIP,A14C,0
LIP,LIP,A31,0.000177054
LIP,LIP,A30,0.016734496
LIP,LIP,A36,0
LIP,LIP,A35,0
LIP,LIP,TEO,0.003983711
LIP,LIP,A14R,0
LIP,LIP,ProM,0
LIP,LIP,AuR,0
LIP,LIP,A29a-c,0.054627339
LIP,LIP,V6,0.00973796
LIP,LIP,A6DR,0.014084507
LIP,LIP,A6DC,0.001173709
LIP,LIP,TE1,0
LIP,LIP,TE2,8.85E-05
LIP,LIP,TE3,0.01746557
LIP,LIP,TLO,0.014918239
LIP,LIP,A8b,0
LIP,LIP,PFG,0.014084507
LIP,LIP,A46V,0
LIP,LIP,A3b,0
LIP,LIP,A3a,0
LIP,LIP,A46D,0
LIP,LIP,DI,0
LIP,LIP,MST,0.013681772
LIP,LIP,AIP,0.00713078
LIP,LIP,A24a,8.85E-05
LIP,LIP,A24c,0
LIP,LIP,A24b,0
LIP,LIP,A24d,0
LIP,LIP,A19DI,0.050991501
LIP,LIP,A11,8.85E-05
LIP,LIP,A10,0
LIP,LIP,S2E,0
LIP,LIP,PGM,0.039480509
LIP,LIP,A8C,0.002347418
LIP,LIP,TL,0.000619688
LIP,LIP,V3,0.083409807
LIP,LIP,A32V,0
LIP,LIP,V5,0.008764164
LIP,LIP,TH,0.018259403
LIP,LIP,A9,0
LIP,LIP,AuRT,0
LIP,LIP,A1-2,0
LIP,LIP,AI,0
LIP,LIP,IPro,0
LIP,LIP,STR,0
LIP,LIP,AuRM,0
LIP,LIP,TFO,0.005311615
LIP,LIP,OPro,0
LIP,LIP,PaIL,0
LIP,LIP,PaIM,0
LIP,LIP,AuCM,0
LIP,LIP,AuCL,0
MIP,MIP,S2I,0
MIP,MIP,AuRTM,0
MIP,MIP,AuRTL,0
MIP,MIP,OPAl,0
MIP,MIP,A6M,0
MIP,MIP,LIP,0
MIP,MIP,AuA1,0
MIP,MIP,S2PR,0
MIP,MIP,V1,0
MIP,MIP,PGa-IPa,0
MIP,MIP,V2,0.023754789
MIP,MIP,V6A,0.098850575
MIP,MIP,V4,0.009195402
MIP,MIP,A6Vb,0
MIP,MIP,A6Va,0.003065134
MIP,MIP,TPPro,0
MIP,MIP,A23a,0
MIP,MIP,A23b,0
MIP,MIP,A23c,0
MIP,MIP,TPO,0
MIP,MIP,A13b,0
MIP,MIP,A13a,0.000766284
MIP,MIP,TF,0
MIP,MIP,GI,0
MIP,MIP,A25,0
MIP,MIP,AuAL,0
MIP,MIP,Gu,0
MIP,MIP,A13M,0
MIP,MIP,A13L,0
MIP,MIP,A23V,0
MIP,MIP,TPt,0
MIP,MIP,Pir,0
MIP,MIP,A29d,0
MIP,MIP,A19M,0
MIP,MIP,A4c,0
MIP,MIP,APir,0
MIP,MIP,TPro,0
MIP,MIP,Ent,0
MIP,MIP,VIP,0.009195402
MIP,MIP,ReI,0
MIP,MIP,PF,0.006130268
MIP,MIP,PG,0
MIP,MIP,PE,0.094252874
MIP,MIP,A47O,0
MIP,MIP,A47L,0.003831418
MIP,MIP,A47M,0
MIP,MIP,OPt,0.001532567
MIP,MIP,A32,0
MIP,MIP,A45,0.004597701
MIP,MIP,AuCPB,0
MIP,MIP,A8aV,0.017624521
MIP,MIP,A4ab,0
MIP,MIP,A8aD,0
MIP,MIP,V4T,0.016858238
MIP,MIP,S2PV,0
MIP,MIP,AuML,0
MIP,MIP,AuRPB,0
MIP,MIP,ProSt,0
MIP,MIP,V3A,0.225287356
MIP,MIP,FST,0.003065134
MIP,MIP,PEC,0.239846743
MIP,MIP,A14C,0
MIP,MIP,A31,0
MIP,MIP,A30,0
MIP,MIP,A36,0
MIP,MIP,A35,0
MIP,MIP,TEO,0
MIP,MIP,A14R,0
MIP,MIP,ProM,0
MIP,MIP,AuR,0
MIP,MIP,A29a-c,0
MIP,MIP,V6,0.157854406
MIP,MIP,A6DR,0
MIP,MIP,A6DC,0.014559387
MIP,MIP,TE1,0
MIP,MIP,TE2,0
MIP,MIP,TE3,0.002298851
MIP,MIP,TLO,0
MIP,MIP,A8b,0
MIP,MIP,PFG,0.006130268
MIP,MIP,A46V,0
MIP,MIP,A3b,0
MIP,MIP,A3a,0
MIP,MIP,A46D,0
MIP,MIP,DI,0
MIP,MIP,MST,0.006896552
MIP,MIP,AIP,0.002298851
MIP,MIP,A24a,0
MIP,MIP,A24c,0
MIP,MIP,A24b,0
MIP,MIP,A24d,0
MIP,MIP,A19DI,0.012260536
MIP,MIP,A11,0
MIP,MIP,A10,0
MIP,MIP,S2E,0
MIP,MIP,PGM,0
MIP,MIP,A8C,0.002298851
MIP,MIP,TL,0
MIP,MIP,V3,0.016091954
MIP,MIP,A32V,0
MIP,MIP,V5,0.019923372
MIP,MIP,TH,0
MIP,MIP,A9,0
MIP,MIP,AuRT,0
MIP,MIP,A1-2,0
MIP,MIP,AI,0
MIP,MIP,IPro,0
MIP,MIP,STR,0
MIP,MIP,AuRM,0
MIP,MIP,TFO,0.000766284
MIP,MIP,OPro,0
MIP,MIP,PaIL,0
MIP,MIP,PaIM,0
MIP,MIP,AuCM,0.000766284
MIP,MIP,AuCL,0
AuA1,AuA1,S2I,0
AuA1,AuA1,AuRTM,0.003282994
AuA1,AuA1,AuRTL,0.001313198
AuA1,AuA1,OPAl,0
AuA1,AuA1,A6M,0
AuA1,AuA1,LIP,0
AuA1,AuA1,MIP,0
AuA1,AuA1,S2PR,0
AuA1,AuA1,V1,0
AuA1,AuA1,PGa-IPa,0.003282994
AuA1,AuA1,V2,0
AuA1,AuA1,V6A,0
AuA1,AuA1,V4,0
AuA1,AuA1,A6Vb,0
AuA1,AuA1,A6Va,0
AuA1,AuA1,TPPro,0
AuA1,AuA1,A23a,0
AuA1,AuA1,A23b,0
AuA1,AuA1,A23c,0
AuA1,AuA1,TPO,0.023637557
AuA1,AuA1,A13b,0
AuA1,AuA1,A13a,0
AuA1,AuA1,TF,0
AuA1,AuA1,GI,0
AuA1,AuA1,A25,0
AuA1,AuA1,AuAL,0.039395929
AuA1,AuA1,Gu,0
AuA1,AuA1,A13M,0
AuA1,AuA1,A13L,0
AuA1,AuA1,A23V,0
AuA1,AuA1,TPt,0.024950755
AuA1,AuA1,Pir,0
AuA1,AuA1,A29d,0
AuA1,AuA1,A19M,0
AuA1,AuA1,A4c,0
AuA1,AuA1,APir,0
AuA1,AuA1,TPro,0.003282994
AuA1,AuA1,Ent,0
AuA1,AuA1,VIP,0
AuA1,AuA1,ReI,0.001313198
AuA1,AuA1,PF,0
AuA1,AuA1,PG,0
AuA1,AuA1,PE,0
AuA1,AuA1,A47O,0
AuA1,AuA1,A47L,0
AuA1,AuA1,A47M,0
AuA1,AuA1,OPt,0
AuA1,AuA1,A32,0
AuA1,AuA1,A45,0
AuA1,AuA1,AuCPB,0.10571241
AuA1,AuA1,A8aV,0
AuA1,AuA1,A4ab,0
AuA1,AuA1,A8aD,0
AuA1,AuA1,V4T,0
AuA1,AuA1,S2PV,0
AuA1,AuA1,AuML,0.423506238
AuA1,AuA1,AuRPB,0.003282994
AuA1,AuA1,ProSt,0
AuA1,AuA1,V3A,0
AuA1,AuA1,FST,0.003282994
AuA1,AuA1,PEC,0
AuA1,AuA1,A14C,0
AuA1,AuA1,A31,0
AuA1,AuA1,A30,0
AuA1,AuA1,A36,0
AuA1,AuA1,A35,0
AuA1,AuA1,TEO,0
AuA1,AuA1,A14R,0
AuA1,AuA1,ProM,0
AuA1,AuA1,AuR,0.065659882
AuA1,AuA1,A29a-c,0
AuA1,AuA1,V6,0
AuA1,AuA1,A6DR,0
AuA1,AuA1,A6DC,0
AuA1,AuA1,TE1,0
AuA1,AuA1,TE2,0
AuA1,AuA1,TE3,0
AuA1,AuA1,TLO,0
AuA1,AuA1,A8b,0
AuA1,AuA1,PFG,0
AuA1,AuA1,A46V,0
AuA1,AuA1,A3b,0
AuA1,AuA1,A3a,0
AuA1,AuA1,A46D,0
AuA1,AuA1,DI,0
AuA1,AuA1,MST,0.060407091
AuA1,AuA1,AIP,0
AuA1,AuA1,A24a,0
AuA1,AuA1,A24c,0
AuA1,AuA1,A24b,0
AuA1,AuA1,A24d,0
AuA1,AuA1,A19DI,0
AuA1,AuA1,A11,0
AuA1,AuA1,A10,0
AuA1,AuA1,S2E,0.000656599
AuA1,AuA1,PGM,0
AuA1,AuA1,A8C,0
AuA1,AuA1,TL,0
AuA1,AuA1,V3,0
AuA1,AuA1,A32V,0
AuA1,AuA1,V5,0
AuA1,AuA1,TH,0
AuA1,AuA1,A9,0
AuA1,AuA1,AuRT,0.031516743
AuA1,AuA1,A1-2,0
AuA1,AuA1,AI,0
AuA1,AuA1,IPro,0
AuA1,AuA1,STR,0.001969796
AuA1,AuA1,AuRM,0.010505581
AuA1,AuA1,TFO,0
AuA1,AuA1,OPro,0
AuA1,AuA1,PaIL,0
AuA1,AuA1,PaIM,0
AuA1,AuA1,AuCM,0.045961917
AuA1,AuA1,AuCL,0.147078135
V1,V1,S2I,8.69E-05
V1,V1,AuRTM,0
V1,V1,AuRTL,0
V1,V1,OPAl,0
V1,V1,A6M,0
V1,V1,LIP,0.006037629
V1,V1,MIP,0.001994897
V1,V1,AuA1,0.000285493
V1,V1,S2PR,0
V1,V1,PGa-IPa,0.000691801
V1,V1,V2,0.497665067
V1,V1,V6A,0.000989181
V1,V1,V4,0.032233408
V1,V1,A6Vb,0
V1,V1,A6Va,0
V1,V1,TPPro,0
V1,V1,A23a,0
V1,V1,A23b,0
V1,V1,A23c,0
V1,V1,TPO,0.00036079
V1,V1,A13b,0
V1,V1,A13a,0
V1,V1,TF,0.004520099
V1,V1,GI,0
V1,V1,A25,0
V1,V1,AuAL,0
V1,V1,Gu,0
V1,V1,A13M,0
V1,V1,A13L,0
V1,V1,A23V,0.000443061
V1,V1,TPt,0.000295348
V1,V1,Pir,0
V1,V1,A29d,0
V1,V1,A19M,0.016607826
V1,V1,A4c,0
V1,V1,APir,0
V1,V1,TPro,0
V1,V1,Ent,0
V1,V1,VIP,0.000423357
V1,V1,ReI,5.44E-05
V1,V1,PF,5.44E-05
V1,V1,PG,0.002046099
V1,V1,PE,7.64E-05
V1,V1,A47O,0
V1,V1,A47L,0.001179245
V1,V1,A47M,4.51E-05
V1,V1,OPt,0.007872664
V1,V1,A32,0
V1,V1,A45,0.000797166
V1,V1,AuCPB,7.70E-05
V1,V1,A8aV,0.000776096
V1,V1,A4ab,0
V1,V1,A8aD,0
V1,V1,V4T,0.021323413
V1,V1,S2PV,4.34E-05
V1,V1,AuML,0.000209048
V1,V1,AuRPB,0
V1,V1,ProSt,0
V1,V1,V3A,0.004761716
V1,V1,FST,0.003192501
V1,V1,PEC,0.000239189
V1,V1,A14C,0
V1,V1,A31,0
V1,V1,A30,0
V1,V1,A36,6.71E-05
V1,V1,A35,0
V1,V1,TEO,0.005939952
V1,V1,A14R,0
V1,V1,ProM,0
V1,V1,AuR,1.10E-05
V1,V1,A29a-c,2.20E-05
V1,V1,V6,0.152345128
V1,V1,A6DR,0
V1,V1,A6DC,0
V1,V1,TE1,0
V1,V1,TE2,0.000347507
V1,V1,TE3,0.000370584
V1,V1,TLO,0.007422103
V1,V1,A8b,0
V1,V1,PFG,0.000977572
V1,V1,A46V,0
V1,V1,A3b,0
V1,V1,A3a,0
V1,V1,A46D,0
V1,V1,DI,0
V1,V1,MST,0.011342058
V1,V1,AIP,0.000316207
V1,V1,A24a,0
V1,V1,A24c,0
V1,V1,A24b,0
V1,V1,A24d,0
V1,V1,A19DI,0.030565557
V1,V1,A11,0
V1,V1,A10,0
V1,V1,S2E,0.000108879
V1,V1,PGM,7.64E-05
V1,V1,A8C,0
V1,V1,TL,0.001297358
V1,V1,V3,0.089649307
V1,V1,A32V,0
V1,V1,V5,0.071042507
V1,V1,TH,0.001946199
V1,V1,A9,0
V1,V1,AuRT,0
V1,V1,A1-2,0
V1,V1,AI,0
V1,V1,IPro,0
V1,V1,STR,0
V1,V1,AuRM,0
V1,V1,TFO,0.019991402
V1,V1,OPro,0
V1,V1,PaIL,0
V1,V1,PaIM,0
V1,V1,AuCM,0.000460387
V1,V1,AuCL,0.000317927
PGa-IPa,PGa-IPa,S2I,0.005930156
PGa-IPa,PGa-IPa,AuRTM,0
PGa-IPa,PGa-IPa,AuRTL,0.001207995
PGa-IPa,PGa-IPa,OPAl,0.008455963
PGa-IPa,PGa-IPa,A6M,0
PGa-IPa,PGa-IPa,LIP,0
PGa-IPa,PGa-IPa,MIP,0
PGa-IPa,PGa-IPa,AuA1,0.000549089
PGa-IPa,PGa-IPa,S2PR,0.000329453
PGa-IPa,PGa-IPa,V1,0
PGa-IPa,PGa-IPa,V2,0.000219635
PGa-IPa,PGa-IPa,V6A,0
PGa-IPa,PGa-IPa,V4,0.006259609
PGa-IPa,PGa-IPa,A6Vb,0.000109818
PGa-IPa,PGa-IPa,A6Va,0.002086536
PGa-IPa,PGa-IPa,TPPro,0
PGa-IPa,PGa-IPa,A23a,0.000658906
PGa-IPa,PGa-IPa,A23b,0
PGa-IPa,PGa-IPa,A23c,0
PGa-IPa,PGa-IPa,TPO,0.151438612
PGa-IPa,PGa-IPa,A13b,0.000109818
PGa-IPa,PGa-IPa,A13a,0.000549089
PGa-IPa,PGa-IPa,TF,0.002196354
PGa-IPa,PGa-IPa,GI,0.020316275
PGa-IPa,PGa-IPa,A25,0
PGa-IPa,PGa-IPa,AuAL,0.000988359
PGa-IPa,PGa-IPa,Gu,0.000109818
PGa-IPa,PGa-IPa,A13M,0.013287942
PGa-IPa,PGa-IPa,A13L,0.001757083
PGa-IPa,PGa-IPa,A23V,0
PGa-IPa,PGa-IPa,TPt,0.012738854
PGa-IPa,PGa-IPa,Pir,0.000768724
PGa-IPa,PGa-IPa,A29d,0
PGa-IPa,PGa-IPa,A19M,0
PGa-IPa,PGa-IPa,A4c,0
PGa-IPa,PGa-IPa,APir,0
PGa-IPa,PGa-IPa,TPro,0.000658906
PGa-IPa,PGa-IPa,Ent,0.000329453
PGa-IPa,PGa-IPa,VIP,0
PGa-IPa,PGa-IPa,ReI,0.006808698
PGa-IPa,PGa-IPa,PF,0.000329453
PGa-IPa,PGa-IPa,PG,0.002635625
PGa-IPa,PGa-IPa,PE,0.000109818
PGa-IPa,PGa-IPa,A47O,0.001098177
PGa-IPa,PGa-IPa,A47L,0.021853723
PGa-IPa,PGa-IPa,A47M,0.001537448
PGa-IPa,PGa-IPa,OPt,0
PGa-IPa,PGa-IPa,A32,0.000109818
PGa-IPa,PGa-IPa,A45,0.000658906
PGa-IPa,PGa-IPa,AuCPB,0.018119921
PGa-IPa,PGa-IPa,A8aV,0.008785416
PGa-IPa,PGa-IPa,A4ab,0.000109818
PGa-IPa,PGa-IPa,A8aD,0.000658906
PGa-IPa,PGa-IPa,V4T,0.000549089
PGa-IPa,PGa-IPa,S2PV,0.004722161
PGa-IPa,PGa-IPa,AuML,0.000329453
PGa-IPa,PGa-IPa,AuRPB,0.009883593
PGa-IPa,PGa-IPa,ProSt,0
PGa-IPa,PGa-IPa,V3A,0
PGa-IPa,PGa-IPa,FST,0.144629914
PGa-IPa,PGa-IPa,PEC,0.000109818
PGa-IPa,PGa-IPa,A14C,0
PGa-IPa,PGa-IPa,A31,0
PGa-IPa,PGa-IPa,A30,0.000219635
PGa-IPa,PGa-IPa,A36,0.009005052
PGa-IPa,PGa-IPa,A35,0.000878542
PGa-IPa,PGa-IPa,TEO,0
PGa-IPa,PGa-IPa,A14R,0.000109818
PGa-IPa,PGa-IPa,ProM,0.004173073
PGa-IPa,PGa-IPa,AuR,0.000219635
PGa-IPa,PGa-IPa,A29a-c,0
PGa-IPa,PGa-IPa,V6,0
PGa-IPa,PGa-IPa,A6DR,0.000329453
PGa-IPa,PGa-IPa,A6DC,0
