,Source,Target,Distance,Graph Distance,Weight,Difference
0,A6M,AuRTM,0.6961504941367674,-0.07445509168337279,,0.7706055858201403
1,A6M,AuRTL,0.8301848398992863,-0.255073275590145,,1.0852581154894312
2,A6M,MIP,0.13146982022894485,-0.16885654866691696,,0.30032636889586184
3,A6M,AuA1,0.12101299981575679,-0.3425760341337441,,0.4635890339495009
4,A6M,V1,1.427578664713808,0.05781455201861013,,1.3697641126951978
5,A6M,TPO,0.7929711940048872,-0.3460415628187155,,1.1390127568236028
6,A6M,A13a,-0.8531845105031547,-0.3098779862013402,,-0.5433065243018145
7,A6M,TF,1.3744959989703727,-0.3353647085709447,,1.7098607075413175
8,A6M,A23V,0.3967680619237095,-0.20632912769914047,,0.60309718962285
9,A6M,A29d,-0.6082214832852307,0.1386232286221823,0.0006653848694273922,-0.7468447119074131
10,A6M,APir,1.4678240520189703,-0.006002731146228728,,1.473826783165199
11,A6M,PF,-0.7736557647647702,-0.14752230587395193,0.0016522552013667527,-0.6261334588908183
12,A6M,PG,-0.05397993246751506,-0.3468738109841777,0.00048101998252126824,0.2928938785166626
13,A6M,PE,-0.6201628063680944,-0.3482240742402503,0.06151306032053559,-0.2719387321278441
14,A6M,A47M,-0.9159743972466874,-0.21077754077228256,0.0008493764592265579,-0.7051968564744049
15,A6M,AuCPB,0.2581458816007671,-0.3217252283361759,,0.579871109936943
16,A6M,A8aV,-0.9971490303742212,-0.3437222513846647,0.02263798539163424,-0.6534267789895565
17,A6M,S2PV,-0.5811360363735054,0.05781455201907953,0.0007360320947777995,-0.6389505883925849
18,A6M,V3A,0.39583508976101717,-0.3435905493401563,,0.7394256391011735
19,A6M,PEC,-0.16547466944305178,-0.2786701624271849,0.0019823815222949587,0.11319549298413312
20,A6M,A14C,-0.83164998951935,-0.16885654866691696,,-0.662793440852433
21,A6M,TE3,0.8476283534061114,-0.18612806945232832,,1.0337564228584397
22,A6M,PFG,-0.3868690808341419,-0.3482641496321077,0.005203513944556792,-0.038604931202034176
23,A6M,AIP,-0.262748353957134,-0.3455929222184723,,0.08284456826133835
24,A6M,A24c,-1.9290010909796556,-0.34648718367867637,0.26221806226886346,-1.5825139073009793
25,A6M,A24b,-1.5897753394400962,-0.27865167960395343,0.07414730365759883,-1.3111236598361429
26,A6M,S2E,-0.715063614139018,-0.34827473693440686,0.008414762083076477,-0.3667888772046111
27,A6M,PGM,0.08048752188487834,0.46438558780382055,,-0.3838980659189422
28,A6M,A8C,-1.2582542911442034,1.3375412634082489,0.01966154148214989,-2.5957955545524523
29,A6M,TL,1.6929748230544661,-0.33619106258998155,,2.0291658856444474
30,A6M,TH,1.7885797031602113,0.05781455201861013,,1.7307651511416011
31,A6M,AI,-0.1643416993635838,-0.264721198228569,7.369479120672332e-05,0.10037949886498518
32,A6M,TFO,1.2945810426647444,-0.3404697691906272,,1.6350508118553715
33,LIP,S2I,-0.7565643400845572,-0.3412547832622443,,-0.4153095568223129
34,LIP,OPAl,0.9034211207647399,-0.2919226749824285,,1.1953437957471684
35,LIP,MIP,-1.7417655814918187,0.4469168392116753,0.11844164074116134,-2.188682420703494
36,LIP,S2PR,0.20213078852653946,-0.31874968174924045,,0.5208804702757799
37,LIP,TPPro,0.8212255961702226,-0.3447379316303469,,1.1659635278005696
38,LIP,TPO,0.11854386883038849,-0.3460188986759105,0.002317245798378442,0.464562767506299
39,LIP,A13b,1.2411300630905624,-0.346395665554718,,1.5875257286452804
40,LIP,TF,0.5082905379618928,-0.3437553500970474,0.0001663668971109099,0.8520458880589402
41,LIP,A25,1.0789027659691357,-0.34513978684397056,,1.4240425528131062
42,LIP,A23V,-1.4174804491839235,-0.3481335341830764,0.09741393685993101,-1.069346915000847
43,LIP,TPt,-1.1791195237580765,-0.34697235017856676,0.002317245798378442,-0.8321471735795097
44,LIP,Pir,1.0902410221208851,-0.31874968174924045,,1.4089907038701255
45,LIP,APir,1.5550969516103892,-0.34734249039282133,,1.9024394420032105
46,LIP,ReI,-0.7456659831426906,-0.3089728176176864,,-0.4366931655250042
47,LIP,PF,-1.0076166144894696,0.4469168392116753,,-1.454533453701145
48,LIP,AuRPB,0.3178786770405568,0.04908017772253752,,0.26879849931801925
49,LIP,ProSt,-1.5389833900213712,-0.14983815302191897,0.002317245798378442,-1.3891452369994521
50,LIP,A14C,1.183240406859203,-0.24929731839425961,,1.4325377252534626
51,LIP,A36,0.9222841641137239,-0.3468276555760126,,1.2691118196897366
52,LIP,A35,1.024751737931455,-0.31874968174924045,,1.3435014196806954
53,LIP,A14R,1.1911674562218606,0.04908017772253752,,1.142087278499323
54,LIP,ProM,0.5243432084633397,-0.348167157604161,,0.8725103660675007
55,LIP,AuR,-0.19828741280334916,-0.34673998782635,,0.14845257502300085
56,LIP,A29a-c,-1.4153756954861703,-0.3436081372860063,0.10826471314785444,-1.071767558200164
57,LIP,TE1,0.6526159942879816,-0.34735358641221337,,0.9999695807001949
58,LIP,A24a,0.4365269693773641,-0.3483473251285244,0.0001663668971109099,0.7848742945058885
59,LIP,A24c,0.22504295748575412,-0.33429833517470886,,0.559341292660463
60,LIP,V3,-0.37029843320303457,-0.2887428797318806,0.1653128424737185,-0.08155555347115395
61,LIP,IPro,0.18922269152515545,-0.3483342402398461,,0.5375569317650015
62,LIP,STR,0.6343662248878216,-0.33991566906684495,,0.9742818939546665
63,LIP,AuRM,-0.21874918030526078,0.04908017772253752,,-0.2678293580277983
